Designator,Mid X,Mid Y,Rotation,Layer
C101,33.4,-24.1,270.0,top
C102,10.8,-35.0,270.0,top
C103,23.0,-34.9,270.0,top
C104,-0.9,-24.2,270.0,top
C105,0.155,-67.75,0.0,top
C106,0.155,-56.311482,0.0,top
C107,0.38,-45.030742,0.0,top
C108,0.155,-33.75,0.0,top
C109,33.535,-41.58,180.0,top
C110,33.535,-53.018518,180.0,top
C111,33.535,-64.299258,180.0,top
C112,33.31,-75.58,180.0,top
C113,21.4,-45.7,180.0,top
C114,11.1,-45.7,0.0,top
C115,-1.3,-85.4,270.0,top
C116,34.9,-85.3,270.0,top
J1,16.3,-24.4,90.0,top
J102,19.225,-67.2,270.0,top
J104,10.6,-24.6,270.0,top
R101,38.31,-33.695,0.0,top
R102,38.31,-39.35,0.0,top
R103,38.31,-45.133518,0.0,top
R104,38.31,-50.788518,0.0,top
R105,38.31,-56.299258,0.0,top
R106,38.31,-62.069258,0.0,top
R107,38.31,-67.695,0.0,top
R108,38.31,-73.35,0.0,top
R109,-4.845,-75.592222,180.0,top
R110,-4.845,-69.822222,180.0,top
R111,-4.845,-64.311482,180.0,top
R112,-4.845,-58.541482,180.0,top
R113,-4.845,-52.845186,180.0,top
R114,-4.845,-47.075186,180.0,top
R115,-4.845,-41.477222,180.0,top
R116,-4.845,-35.707222,180.0,top
R117,18.293249,-49.175,180.0,top
R118,14.483249,-49.175,180.0,top
R119,11.138249,-53.88,270.0,top
R120,22.138249,-53.88,270.0,top
U101,32.31,-70.58,270.0,top
U102,32.31,-36.58,270.0,top
U103,32.31,-48.018518,270.0,top
U104,32.31,-59.299258,270.0,top
U105,1.155,-38.75,90.0,top
U106,1.155,-72.865,90.0,top
U107,1.155,-61.58426,90.0,top
U108,1.155,-50.117964,90.0,top
U109,16.643249,-53.62,0.0,top
